Year,2,3,4,5,6,7,8,9,10
1985,0.61,0.58,2.99,5.11,1.74,1.06,0.50,1.37,0.09
1986,2.33,2.40,2.06,2.09,1.42,0.62,0.28,0.19,0.10
1987,0.39,11.52,12.93,6.42,3.95,3.07,0.79,0.36,0.14
1988,0.31,0.49,2.72,2.81,1.71,0.95,0.40,0.07,0.05
1989,1.43,3.96,5.05,6.57,2.49,1.77,0.91,0.40,0.01
1990,0.35,1.69,4.86,6.37,12.33,3.30,1.21,0.64,0.05
1991,0.22,1.40,1.72,2.22,1.13,2.50,0.30,0.02,0.01
1992,0.15,0.91,5.73,5.52,2.79,2.68,1.91,0.28,0.03
1993,1.27,11.04,2.00,6.80,2.41,2.25,1.02,4.02,0.14
1994,0.82,0.73,1.89,1.74,1.95,0.53,0.84,1.00,0.85
1995,0.48,1.98,1.12,0.51,0.28,0.34,0.10,0.15,0.10
1996,0.13,0.51,3.76,1.12,0.99,0.58,1.00,0.05,0.09
1997,0.32,0.90,4.72,3.96,0.94,0.40,0.16,0.10,0.02
1998,0.11,1.64,2.33,2.53,1.23,0.71,0.31,0.08,0.04
1999,0.75,3.71,0.93,1.25,1.64,0.57,0.17,0.02,0.01
2000,0.38,2.02,2.54,0.61,0.84,0.53,0.47,0.07,0.01
2001,0.89,1.90,2.64,1.60,0.20,0.23,0.40,0.13,0.02
2002,1.05,2.23,2.97,3.08,2.15,0.42,0.49,0.32,0.05
2003,0.05,9.62,5.06,2.94,1.34,0.77,0.21,0.05,0.03
2004,0.91,1.38,9.39,6.04,4.35,1.48,0.81,0.17,0.07
2005,0.26,4.32,2.39,7.42,4.66,2.31,0.86,0.44,0.06
2006,0.00,2.18,6.69,1.98,8.91,3.52,1.21,0.29,0.07
2007,0.06,0.31,1.73,3.22,0.81,1.62,0.70,0.29,0.07
2008,0.08,2.25,1.79,2.85,4.01,0.61,0.78,0.34,0.09
2009,0.21,2.43,1.80,0.68,0.91,0.84,0.12,0.26,0.05
2010,0.07,1.23,4.99,2.49,0.63,0.60,0.48,0.07,0.07
2011,0.15,3.83,4.20,3.06,1.15,0.41,0.39,0.44,0.09
2012,0.02,1.75,12.04,6.86,2.75,0.62,0.17,0.38,0.18
2013,0.12,4.27,7.43,6.78,4.65,2.57,1.12,0.30,0.24
2014,0.03,0.39,3.84,3.78,2.04,0.86,0.42,0.15,0.13
2015,0.04,1.07,1.90,3.16,1.72,0.81,0.72,0.68,0.26
2016,0.05,3.17,16.18,2.72,2.25,1.07,0.53,0.43,0.18
